"","year","month","siteID","total_precip","datetime"
"1",2016,9,"OSBS",18.81,2016-09-01
"2",2016,10,"OSBS",123.31,2016-10-01
"3",2016,11,"OSBS",66.92,2016-11-01
"4",2016,12,"OSBS",52.59,2016-12-01
"5",2017,1,"OSBS",63.63,2017-01-01
"6",2017,2,"OSBS",54.34,2017-02-01
"7",2017,3,"OSBS",53.52,2017-03-01
"8",2017,4,"ORNL",23.04,2017-04-01
"9",2017,4,"OSBS",89.86,2017-04-01
"10",2017,5,"ORNL",77.13,2017-05-01
"11",2017,5,"OSBS",134.39,2017-05-01
"12",2017,6,"KONZ",41.56,2017-06-01
"13",2017,6,"ORNL",31.28,2017-06-01
"14",2017,6,"OSBS",231.78,2017-06-01
"15",2017,7,"KONZ",48.08,2017-07-01
"16",2017,7,"ORNL",75.5,2017-07-01
"17",2017,7,"OSBS",125.8,2017-07-01
"18",2017,7,"TALL",41.69,2017-07-01
"19",2017,8,"KONZ",70.4,2017-08-01
"20",2017,8,"ORNL",68.52,2017-08-01
"21",2017,8,"TALL",63.78,2017-08-01
"22",2017,9,"KONZ",16.14,2017-09-01
"23",2017,9,"ORNL",61.16,2017-09-01
"24",2017,9,"TALL",50.8,2017-09-01
"25",2017,10,"KONZ",37.99,2017-10-01
"26",2017,10,"ORNL",115.22,2017-10-01
"27",2017,10,"TALL",84.41,2017-10-01
"28",2017,11,"KONZ",9.71,2017-11-01
"29",2017,11,"ORNL",59.83,2017-11-01
"30",2017,11,"TALL",7.42,2017-11-01
"31",2017,12,"KONZ",11.34,2017-12-01
"32",2017,12,"OSBS",81.59,2017-12-01
"33",2017,12,"TALL",3.27,2017-12-01
"34",2018,1,"KONZ",18.44,2018-01-01
"35",2018,1,"ORNL",26.29,2018-01-01
"36",2018,1,"OSBS",41.34,2018-01-01
"37",2018,1,"TALL",27.56,2018-01-01
"38",2018,2,"KONZ",18.69,2018-02-01
"39",2018,2,"ORNL",156.94,2018-02-01
"40",2018,2,"OSBS",34.01,2018-02-01
"41",2018,2,"TALL",20.55,2018-02-01
"42",2018,3,"KONZ",10.76,2018-03-01
"43",2018,3,"ORNL",52.08,2018-03-01
"44",2018,3,"OSBS",72.37,2018-03-01
"45",2018,3,"TALL",66.77,2018-03-01
"46",2018,4,"KONZ",37.84,2018-04-01
"47",2018,4,"ORNL",90.26,2018-04-01
"48",2018,4,"OSBS",218.52,2018-04-01
"49",2018,4,"TALL",108.1,2018-04-01
"50",2018,5,"KONZ",71.86,2018-05-01
"51",2018,5,"ORNL",58.16,2018-05-01
"52",2018,5,"OSBS",174.3,2018-05-01
"53",2018,5,"TALL",73.57,2018-05-01
"54",2018,6,"KONZ",29.86,2018-06-01
"55",2018,6,"ORNL",99.95,2018-06-01
"56",2018,6,"OSBS",99.45,2018-06-01
"57",2018,6,"TALL",55.27,2018-06-01
"58",2018,7,"KONZ",19.4,2018-07-01
"59",2018,7,"ORNL",41.56,2018-07-01
"60",2018,7,"OSBS",89.94,2018-07-01
"61",2018,7,"TALL",101.99,2018-07-01
"62",2018,8,"KONZ",88.59,2018-08-01
"63",2018,8,"OSBS",98.15,2018-08-01
"64",2018,8,"TALL",88.89,2018-08-01
"65",2018,9,"KONZ",69.32,2018-09-01
"66",2018,9,"OSBS",104.01,2018-09-01
"67",2018,9,"TALL",89.19,2018-09-01
"68",2018,10,"KONZ",112.16,2018-10-01
"69",2018,10,"OSBS",75.77,2018-10-01
"70",2018,10,"TALL",19.05,2018-10-01
"71",2018,11,"KONZ",40.38,2018-11-01
"72",2018,11,"OSBS",107.26,2018-11-01
"73",2018,11,"TALL",1.88,2018-11-01
"74",2018,12,"KONZ",58.81,2018-12-01
"75",2018,12,"ORNL",88.39,2018-12-01
"76",2018,12,"OSBS",225.03,2018-12-01
"77",2018,12,"TALL",1.52,2018-12-01
"78",2019,1,"KONZ",36.43,2019-01-01
"79",2019,1,"ORNL",98.22,2019-01-01
"80",2019,1,"OSBS",143.26,2019-01-01
"81",2019,1,"TALL",2.83,2019-01-01
"82",2019,2,"KONZ",27.64,2019-02-01
"83",2019,2,"ORNL",235.04,2019-02-01
"84",2019,2,"OSBS",67.01,2019-02-01
"85",2019,2,"TALL",56.57,2019-02-01
"86",2019,3,"KONZ",50.92,2019-03-01
"87",2019,3,"ORNL",102.94,2019-03-01
