"","siteID","mean_temp","datetime"
"1","BLAN",22.6391319751993,2015-08-01
"2","KONZ",24.3665373563218,2015-08-01
"3","ORNL",23.6425408219178,2015-08-01
"4","OSBS",26.3935558300395,2015-08-01
"5","SCBI",22.3566363513514,2015-08-01
"6","TALL",25.8039586021505,2015-08-01
"7","BLAN",18.0148869518717,2015-09-01
"8","KONZ",23.3061958517211,2015-09-01
"9","ORNL",22.4976886395512,2015-09-01
"10","OSBS",25.0017040305768,2015-09-01
"11","SCBI",21.3458638565891,2015-09-01
"12","TALL",23.3854409722222,2015-09-01
"13","BLAN",12.3175358198925,2015-10-01
"14","KONZ",18.1248566371681,2015-10-01
"15","ORNL",12.6782142857143,2015-10-01
"16","OSBS",21.7688811827957,2015-10-01
"17","SCBI",NA,2015-10-01
"18","TALL",19.1451887773723,2015-10-01
"19","BLAN",9.90452278225806,2015-11-01
"20","KONZ",6.6449017524644,2015-11-01
"21","ORNL",12.6439691666667,2015-11-01
"22","OSBS",24.1907945121951,2015-11-01
"23","TALL",14.3242643858203,2015-11-01
"24","BLAN",NA,2015-12-01
"25","KONZ",6.66157723823976,2015-12-01
"26","ORNL",11.8217020847344,2015-12-01
"27","TALL",14.1348167684997,2015-12-01
"28","BLAN",-0.801897037037037,2016-01-01
"29","KONZ",-0.926084009942005,2016-01-01
"30","ORNL",3.47914812419146,2016-01-01
"31","OSBS",10.5158,2016-01-01
"32","SCBI",-0.585621936989498,2016-01-01
"33","TALL",5.42821705508475,2016-01-01
"34","UKFS",7.45976796116505,2016-01-01
"35","BLAN",2.1544194683908,2016-02-01
"36","KONZ",4.68706350574713,2016-02-01
"37","ORNL",8.9192556978233,2016-02-01
"38","OSBS",22.3106,2016-02-01
"39","SCBI",2.13408735632184,2016-02-01
"40","SERC",8.8671,2016-02-01
"41","TALL",9.69447838765009,2016-02-01
"42","UKFS",4.58514504310345,2016-02-01
"43","BLAN",10.4932924424973,2016-03-01
"44","KONZ",12.3717074193548,2016-03-01
"45","ORNL",13.3021735215054,2016-03-01
"46","OSBS",21.253504442344,2016-03-01
"47","SCBI",10.1378176747312,2016-03-01
"48","SERC",18.6906,2016-03-01
"49","TALL",15.5064154569892,2016-03-01
"50","UKFS",10.6122961021505,2016-03-01
"51","BLAN",12.3174753472222,2016-04-01
"52","KONZ",NA,2016-04-01
"53","ORNL",13.8918845117845,2016-04-01
"54","OSBS",21.4143707638889,2016-04-01
"55","SCBI",12.063496875,2016-04-01
"56","SERC",9.76647614678899,2016-04-01
"57","TALL",18.1901145833333,2016-04-01
"58","UKFS",14.1052309937457,2016-04-01
"59","BLAN",16.0241926549865,2016-05-01
"60","ORNL",20.9516319379845,2016-05-01
"61","OSBS",24.3729158560311,2016-05-01
"62","SCBI",13.0747926724138,2016-05-01
"63","SERC",16.3542709722222,2016-05-01
"64","TALL",21.611841733871,2016-05-01
"65","UKFS",17.0416859448554,2016-05-01
"66","BLAN",22.4787418055556,2016-06-01
"67","ORNL",24.6074363572433,2016-06-01
"68","OSBS",27.4217205841446,2016-06-01
